dataset,classifier,primary_metric,mean_primary_value,secondary_metric,mean_secondary_value,tertiary_metric,mean_tertiary_value,primary_repeat_values,secondary_repeat_values,tertiary_repeat_values,successful_repeats
page_blocks,random_forest,n_estimators,160.0,max_depth,19.0,,,"[100.0, 300.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 300.0, 300.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 10.0]",[],10
page_blocks,xgboost,n_estimators,100.0,max_depth,4.8,,,"[50.0, 50.0, 200.0, 50.0, 100.0, 50.0, 100.0, 100.0, 200.0, 100.0]","[3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",[],10
waveform,fcalc,size,84000.0,,,,,"[84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0, 84000.0]",[],[],10
waveform,fcalc_rand,size,2709.0,num_iters,43.0,,,"[3150.0, 3150.0, 3150.0, 2520.0, 2520.0, 3150.0, 3150.0, 3150.0, 2520.0, 630.0]","[50.0, 50.0, 50.0, 40.0, 40.0, 50.0, 50.0, 50.0, 40.0, 10.0]",[],10
waveform,ips_knn,avg_rrc_size,12.9749,max_rrc_size,21.0,,,"[12.062, 12.622, 11.077, 14.655, 15.931, 14.106, 10.591, 14.808, 12.735, 11.162]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",[],10
waveform,knn,size,1230.6,,,,,"[1470.0, 1932.0, 1008.0, 1428.0, 1470.0, 1050.0, 1218.0, 966.0, 1092.0, 672.0]",[],[],10
waveform,naive_bayes,size,86.0,,,,,"[86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0]",[],[],10
waveform,logistic_regression,size,22.0,,,,,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",[],[],10
waveform,svm,size,10149.0,n_support_vectors,2302.5,,,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 50712.0, 50602.0]","[2305.0, 2300.0]",[],10
waveform,decision_tree,avg_path_features,7.3373,max_path_features,8.8,configured_max_depth,8.333333,"[4.876, 8.215, 8.411, 8.437, 8.189, 5.0, 9.054, 4.666, 8.31, 8.215]","[5.0, 10.0, 10.0, 10.0, 10.0, 5.0, 13.0, 5.0, 10.0, 10.0]","[5.0, 10.0, 10.0, 10.0, 10.0, 5.0, 5.0, 10.0, 10.0]",10
waveform,random_forest,n_estimators,280.0,max_depth,18.7,,,"[100.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]","[10.0, 26.0, 20.0, 10.0, 20.0, 23.0, 10.0, 22.0, 20.0, 26.0]",[],10
waveform,xgboost,n_estimators,180.0,max_depth,3.6,,,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 100.0, 200.0, 100.0]","[5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 5.0, 3.0]",[],10
vehicle,fcalc,size,12168.0,,,,,"[12168.0, 12168.0, 12168.0, 12168.0, 12168.0, 12168.0, 12168.0, 12168.0, 12168.0, 12168.0]",[],[],10
vehicle,fcalc_rand,size,2592.0,num_iters,36.0,,,"[1440.0, 1440.0, 3600.0, 2160.0, 3600.0, 3600.0, 2880.0, 2880.0, 2880.0, 1440.0]","[20.0, 20.0, 50.0, 30.0, 50.0, 50.0, 40.0, 40.0, 40.0, 20.0]",[],10
vehicle,ips_knn,avg_rrc_size,6.010588,max_rrc_size,15.1,,,"[5.864706, 5.805882, 6.105882, 5.976471, 5.776471, 6.611765, 5.923529, 5.558824, 6.535294, 5.947059]","[16.0, 15.0, 15.0, 15.0, 15.0, 16.0, 15.0, 13.0, 16.0, 15.0]",[],10
vehicle,knn,size,66.6,,,,,"[72.0, 54.0, 54.0, 54.0, 54.0, 126.0, 54.0, 18.0, 108.0, 72.0]",[],[],10
vehicle,naive_bayes,size,74.0,,,,,"[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]",[],[],10
vehicle,logistic_regression,size,19.0,,,,,"[19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]",[],[],10
vehicle,svm,size,7256.2,n_support_vectors,381.8,,,"[7222.0, 7317.0, 7241.0, 7165.0, 7184.0, 7298.0, 7241.0, 7241.0, 7203.0, 7450.0]","[380.0, 385.0, 381.0, 377.0, 378.0, 384.0, 381.0, 381.0, 379.0, 392.0]",[],10
vehicle,decision_tree,avg_path_features,6.653529,max_path_features,10.5,configured_max_depth,10.0,"[6.876471, 6.676471, 6.041176, 6.335294, 6.958824, 6.2, 6.864706, 6.576471, 7.2, 6.805882]","[13.0, 9.0, 8.0, 9.0, 13.0, 10.0, 13.0, 10.0, 11.0, 9.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",10
vehicle,random_forest,n_estimators,200.0,max_depth,16.7,,,"[300.0, 300.0, 100.0, 100.0, 100.0, 300.0, 100.0, 300.0, 100.0, 300.0]","[20.0, 10.0, 20.0, 20.0, 20.0, 10.0, 10.0, 24.0, 10.0, 23.0]",[],10
vehicle,xgboost,n_estimators,180.0,max_depth,3.8,,,"[200.0, 200.0, 200.0, 200.0, 100.0, 200.0, 100.0, 200.0, 200.0, 200.0]","[3.0, 3.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 5.0, 3.0]",[],10
image_segmentation,fcalc,size,30024.0,,,,,"[30024.0, 30024.0, 30024.0, 30024.0, 30024.0, 30024.0, 30024.0, 30024.0, 30024.0, 30024.0]",[],[],10
image_segmentation,fcalc_rand,size,4032.0,num_iters,32.0,,,"[2520.0, 2520.0, 6300.0, 6300.0, 5040.0, 2520.0, 6300.0, 1260.0, 3780.0, 3780.0]","[20.0, 20.0, 50.0, 50.0, 40.0, 20.0, 50.0, 10.0, 30.0, 30.0]",[],10
image_segmentation,ips_knn,avg_rrc_size,4.7189,max_rrc_size,11.8,,,"[4.586124, 4.739234, 4.772727, 4.586124, 4.789474, 4.755981, 4.777512, 4.741627, 4.746411, 4.69378]","[10.0, 11.0, 10.0, 9.0, 18.0, 10.0, 13.0, 13.0, 14.0, 10.0]",[],10
image_segmentation,knn,size,18.0,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",[],[],10
image_segmentation,naive_bayes,size,74.0,,,,,"[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]",[],[],10
image_segmentation,logistic_regression,size,19.0,,,,,"[19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]",[],[],10
image_segmentation,svm,size,6214.6,n_support_vectors,408.5,,,"[19.0, 19.0, 7716.0, 7849.0, 7659.0, 7944.0, 7412.0, 7868.0, 7773.0, 7887.0]","[406.0, 413.0, 403.0, 418.0, 390.0, 414.0, 409.0, 415.0]",[],10
image_segmentation,decision_tree,avg_path_features,4.417225,max_path_features,9.4,configured_max_depth,10.0,"[4.595694, 4.354067, 4.569378, 4.480861, 4.538278, 4.337321, 4.913876, 3.964115, 4.066986, 4.351675]","[10.0, 10.0, 9.0, 9.0, 9.0, 8.0, 11.0, 9.0, 8.0, 11.0]",[10.0],10
image_segmentation,random_forest,n_estimators,220.0,max_depth,19.0,,,"[300.0, 300.0, 100.0, 300.0, 300.0, 300.0, 300.0, 100.0, 100.0, 100.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 10.0, 20.0, 20.0, 20.0, 20.0]",[],10
image_segmentation,xgboost,n_estimators,200.0,max_depth,3.8,,,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0]",[],10
