dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
parkinsons,xgboost,8,2005,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,8,2005,156,39,22,2,"{""k"": 5}",avg_rrc_size,3.6153846153846154,max_rrc_size,7.0,,,3.6153846153846154,7.0,0.16433566433566435,1.273,ok,
parkinsons,knn,8,2005,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,8,2005,156,39,22,2,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,8,2005,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,58,size,1336,,,,,,0.002,ok,
parkinsons,decision_tree,8,2005,156,39,22,2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",configured_max_depth,10,max_path_features,6.0,avg_path_features,3.6666666666666665,,,,0.002,ok,
parkinsons,random_forest,8,2005,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",n_estimators,300,max_depth,10,,,,,,0.0,ok,
parkinsons,fcalc,8,2005,156,39,22,2,"{""cv_f1"": 0.7097933896085372, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,8,2005,156,39,22,2,"{""cv_f1"": 0.7827918360114274, ""family"": ""proximity"", ""method"": ""proximity-support"", ""num_iters"": 40, ""subsample_size"": 6}",size,1760,num_iters,40,,,,,,0.0,ok,
parkinsons,naive_bayes,9,2006,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,9,2006,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,100,max_depth,3,,,,,,0.0,ok,
parkinsons,ips_knn,9,2006,156,39,22,2,"{""k"": 3}",avg_rrc_size,3.6666666666666665,max_rrc_size,7.0,,,3.6666666666666665,7.0,0.16666666666666666,1.323,ok,
parkinsons,knn,9,2006,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,9,2006,156,39,22,2,"{""C"": 100, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,9,2006,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,63,size,1451,,,,,,0.002,ok,
