dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,weighted_f1_mean,weighted_f1_ci95,retained_mean,retained_ci95,compression_ratio_mean,compression_ratio_ci95,runs,repeat_rows
vehicle,global_topk,simplicity_prior,117,0.5450547204926257,0.0210872825892554,0.0150838852064483,0.5594117647058823,0.0129233846145734,0.5450547204926257,0.0150838852064483,0.5427988995619015,0.0154999012617148,117.0,0.0,0.1730769230769229,2.09277040141842e-17,10,10
vehicle,global_topk,simplicity_prior,140,0.5362775992712681,0.0217606308226744,0.0155655360504519,0.548235294117647,0.0138563017779614,0.5362775992712681,0.0155655360504519,0.5343268642846806,0.0158739250828501,140.0,0.0,0.2071005917159763,2.09277040141842e-17,10,10
vehicle,global_topk,simplicity_prior,166,0.4867939655927791,0.0426964640606556,0.0305410884444791,0.5047058823529411,0.0260740978737672,0.4867939655927791,0.0305410884444791,0.4848241837934388,0.0310386730789673,166.0,0.0,0.2455621301775147,2.09277040141842e-17,10,10
vehicle,global_topk,simplicity_prior,198,0.4405927604216533,0.0440279921373948,0.0314935400737341,0.4629411764705882,0.0252500324163004,0.4405927604216533,0.0314935400737341,0.4388598031434743,0.0315853736803249,198.0,0.0,0.2928994082840236,0.0,10,10
vehicle,global_topk,simplicity_prior,236,0.4108371196848137,0.052087487284406,0.0372585550349974,0.438235294117647,0.030487606535265,0.4108371196848137,0.0372585550349974,0.409191047220012,0.0370084524057932,236.0,0.0,0.3491124260355028,4.18554080283684e-17,10,10
vehicle,global_topk,simplicity_prior,281,0.3543174112400705,0.0513519599631113,0.0367324270413284,0.3835294117647058,0.0265969762831199,0.3543174112400705,0.0367324270413284,0.3520501810028261,0.0369528380891271,281.0,0.0,0.4156804733727811,4.18554080283684e-17,10,10
vehicle,global_topk,simplicity_prior,335,0.3053751110201693,0.0312744815123764,0.0223708620125497,0.3411764705882352,0.0161142237669847,0.3053751110201693,0.0223708620125497,0.3037220168399385,0.0221918830133934,335.0,0.0,0.4955621301775147,0.0,10,10
vehicle,global_topk,simplicity_prior,400,0.327939346822031,0.036408985910702,0.0260436100116593,0.3688235294117646,0.0203299097501643,0.327939346822031,0.0260436100116593,0.327454936977324,0.0262062384609602,400.0,0.0,0.5917159763313611,8.37108160567368e-17,10,10
vehicle,global_topk,simplicity_prior,476,0.3133301370099956,0.0277428465838295,0.0198446580966204,0.3529411764705882,0.0176299454275544,0.3133301370099956,0.0198446580966204,0.3124135240160491,0.0204470234320771,476.0,0.0,0.7041420118343196,0.0,10,10
vehicle,global_topk,simplicity_prior,567,0.2239875059483753,0.024624353465086,0.017613977494645,0.2947058823529411,0.0177910035583284,0.2239875059483753,0.017613977494645,0.220588552117128,0.0174590103614939,567.0,0.0,0.8387573964497042,0.0,10,10
vehicle,global_topk,simplicity_prior,676,0.1028037383177569,1.4628472785736258e-17,1.04638520070921e-17,0.2588235294117647,0.0,0.1028037383177569,1.04638520070921e-17,0.1064321055525013,0.0,676.0,0.0,1.0,0.0,10,10
vehicle,global_topk,stability,1,0.2045006224792732,0.0394357372953832,0.0282086670901021,0.226470588235294,0.0265562656575569,0.2045006224792732,0.0282086670901021,0.2047354440390961,0.0283163794345225,1.0,0.0,0.0014792899408284,0.0,10,10
vehicle,global_topk,stability,2,0.2000708339158081,0.0382592989330987,0.0273671522512862,0.2235294117647058,0.0257858097828858,0.2000708339158081,0.0273671522512862,0.2004707711837315,0.0274688473866692,2.0,0.0,0.0029585798816568,0.0,10,10
vehicle,global_topk,stability,3,0.2265756023194677,0.0439327696464377,0.0314254267397097,0.2452941176470588,0.0294237558850093,0.2265756023194677,0.0314254267397097,0.2263128587388642,0.0315545076091884,3.0,0.0,0.0044378698224852,0.0,10,10
vehicle,global_topk,stability,4,0.216687231515599,0.0366418646658092,0.0262101898634818,0.2311764705882352,0.022357578125861,0.216687231515599,0.0262101898634818,0.2162135323671477,0.026150305739217,4.0,0.0,0.0059171597633136,0.0,10,10
vehicle,global_topk,stability,5,0.2184756559321747,0.031934832395862,0.0228432157584775,0.2323529411764705,0.0176578188764651,0.2184756559321747,0.0228432157584775,0.2181343936418359,0.0224310688720522,5.0,0.0,0.0073964497041419,6.539907504432564e-19,10,10
vehicle,global_topk,stability,6,0.2147947558661413,0.0308655037247093,0.0220783172536389,0.2270588235294117,0.0183086878237351,0.2147947558661413,0.0220783172536389,0.2142038975395941,0.0216995799196085,6.0,0.0,0.0088757396449704,0.0,10,10
vehicle,global_topk,stability,7,0.2331194713374991,0.0228277200461713,0.0163288326622432,0.2447058823529411,0.0128852736952185,0.2331194713374991,0.0163288326622432,0.232474195147155,0.0164378695218118,7.0,0.0,0.0103550295857988,0.0,10,10
vehicle,global_topk,stability,8,0.2443602879023987,0.0292903280734617,0.0209515827584358,0.2541176470588235,0.0165716263952601,0.2443602879023987,0.0209515827584358,0.2434339434780531,0.0208974430809929,8.0,0.0,0.0118343195266272,0.0,10,10
vehicle,global_topk,stability,9,0.2466799439185921,0.0156159796001508,0.0111702227481379,0.2547058823529411,0.01050518863397,0.2466799439185921,0.0111702227481379,0.2456167615237611,0.0112119518743437,9.0,0.0,0.0133136094674556,0.0,10,10
vehicle,global_topk,stability,10,0.2545836427973997,0.0097026959335443,0.006940408325975,0.2629411764705882,0.0079464826716737,0.2545836427973997,0.006940408325975,0.2533200495185595,0.007290700979627,10.0,0.0,0.0147928994082839,1.3079815008865127e-18,10,10
vehicle,global_topk,stability,12,0.2768201177961,0.0186510409575509,0.0133412240099542,0.2876470588235293,0.010392226333471,0.2768201177961,0.0133412240099542,0.2753716480591512,0.0132786101735851,12.0,0.0,0.0177514792899408,0.0,10,10
vehicle,global_topk,stability,14,0.3034869374092021,0.0209559793342731,0.0149899630418923,0.3164705882352941,0.0149489810093528,0.3034869374092021,0.0149899630418923,0.3022122670053133,0.0151429073343539,14.0,0.0,0.0207100591715976,0.0,10,10
vehicle,global_topk,stability,17,0.3376281375654749,0.0184150378127248,0.0131724092596491,0.3529411764705882,0.0112205052036092,0.3376281375654749,0.0131724092596491,0.3364858100597478,0.0132053485218704,17.0,0.0,0.0251479289940827,2.615963001773025e-18,10,10
vehicle,global_topk,stability,20,0.361228993162553,0.02847806451916,0.0203705647842795,0.3794117647058823,0.0160224040807224,0.361228993162553,0.0203705647842795,0.3605966151842478,0.0204342774548805,20.0,0.0,0.0295857988165679,2.615963001773025e-18,10,10
vehicle,global_topk,stability,24,0.39469729930372,0.0257987301881654,0.0184540176280797,0.4123529411764705,0.014770261949684,0.39469729930372,0.0184540176280797,0.3945527733816708,0.0182172624194624,24.0,0.0,0.0355029585798816,0.0,10,10
vehicle,global_topk,stability,29,0.428147009228889,0.0343793591329235,0.024591803350542,0.4458823529411765,0.0221587223096112,0.428147009228889,0.024591803350542,0.4285993124630901,0.0247615962017736,29.0,0.0,0.0428994082840236,0.0,10,10
vehicle,global_topk,stability,34,0.4554484119408113,0.0311294635663106,0.0222671296306237,0.471764705882353,0.0193126375965132,0.4554484119408113,0.0222671296306237,0.4562711826625651,0.0223541101292433,34.0,0.0,0.0502958579881655,5.2319260035460495e-18,10,10
vehicle,global_topk,stability,41,0.5051384617414547,0.0279796570966449,0.0200140503630667,0.5229411764705881,0.0177910035583284,0.5051384617414547,0.0200140503630667,0.5064693684960704,0.0198662929508019,41.0,0.0,0.0606508875739644,0.0,10,10
vehicle,global_topk,stability,49,0.5400093211890262,0.0363265698034663,0.025984657176203,0.5576470588235294,0.0245988945091576,0.5400093211890262,0.025984657176203,0.5417876223165242,0.0258549963579788,49.0,0.0,0.0724852071005917,0.0,10,10
vehicle,global_topk,stability,58,0.5758585026161669,0.0379322700120129,0.0271332261072244,0.5911764705882352,0.0239875205444104,0.5758585026161669,0.0271332261072244,0.5772485041466633,0.0268737494576112,58.0,0.0,0.0857988165680473,0.0,10,10
vehicle,global_topk,stability,69,0.5858039262862379,0.0306105776532069,0.0218959667975098,0.6041176470588236,0.0194395455042489,0.5858039262862379,0.0218959667975098,0.5868605153730562,0.0216437143497324,69.0,0.0,0.1020710059171597,0.0,10,10
vehicle,global_topk,stability,83,0.6001252250721546,0.0332742659138138,0.0238013222068043,0.6164705882352941,0.0240325829572814,0.6001252250721546,0.0238013222068043,0.6004747123805921,0.0239181573172065,83.0,0.0,0.1227810650887573,1.04638520070921e-17,10,10
vehicle,global_topk,stability,98,0.5951429261654462,0.0344726062646057,0.0246585036958412,0.6105882352941177,0.0239505882352941,0.5951429261654462,0.0246585036958412,0.5945218034201761,0.0246691218912785,98.0,0.0,0.1449704142011834,0.0,10,10
vehicle,global_topk,stability,117,0.5848712295398227,0.0300338602016697,0.0214834366481783,0.5941176470588234,0.0207085967472147,0.5848712295398227,0.0214834366481783,0.5834288197292326,0.0215215616984968,117.0,0.0,0.1730769230769229,2.09277040141842e-17,10,10
vehicle,global_topk,stability,140,0.5617331515340785,0.0312945243335335,0.0223851987869665,0.57,0.0223047232573007,0.5617331515340785,0.0223851987869665,0.5601433633355166,0.0227334876517994,140.0,0.0,0.2071005917159763,2.09277040141842e-17,10,10
vehicle,global_topk,stability,166,0.522987068887631,0.0370777860597458,0.0265220075781325,0.5335294117647058,0.0260174519283555,0.522987068887631,0.0265220075781325,0.5216449844727016,0.0267817213076157,166.0,0.0,0.2455621301775147,2.09277040141842e-17,10,10
vehicle,global_topk,stability,198,0.4845475821653121,0.051327647692346,0.036715036298838,0.4976470588235293,0.0333798243354329,0.4845475821653121,0.036715036298838,0.4834284199902668,0.0369337993091034,198.0,0.0,0.2928994082840236,0.0,10,10
vehicle,global_topk,stability,236,0.4453077779583327,0.0545774907882959,0.039039672486113,0.4611764705882352,0.034822002271761,0.4453077779583327,0.039039672486113,0.4443247991049058,0.0391848745029021,236.0,0.0,0.3491124260355028,4.18554080283684e-17,10,10
vehicle,global_topk,stability,281,0.4000119336313478,0.0536616554637377,0.0383845688782785,0.4194117647058824,0.0335473638009468,0.4000119336313478,0.0383845688782785,0.3983130051555286,0.0382428459377525,281.0,0.0,0.4156804733727811,4.18554080283684e-17,10,10
vehicle,global_topk,stability,335,0.3382528585510968,0.0536632439370846,0.0383857051247113,0.358235294117647,0.0317642623280578,0.3382528585510968,0.0383857051247113,0.3366580172320491,0.0385031968191917,335.0,0.0,0.4955621301775147,0.0,10,10
vehicle,global_topk,stability,400,0.3389994367597179,0.0360370000960581,0.0257775258776432,0.3641176470588235,0.0171147190137733,0.3389994367597179,0.0257775258776432,0.3383861704871045,0.0258168822781664,400.0,0.0,0.5917159763313611,8.37108160567368e-17,10,10
vehicle,global_topk,stability,476,0.347200105423892,0.0366567802754536,0.0262208591065533,0.3717647058823529,0.020012959261646,0.347200105423892,0.0262208591065533,0.3469180019976898,0.0263944328153228,476.0,0.0,0.7041420118343196,0.0,10,10
vehicle,global_topk,stability,567,0.2308042122829417,0.0300206933410723,0.021474018297903,0.2741176470588235,0.0239012563842866,0.2308042122829417,0.021474018297903,0.2289164572084546,0.0212953217434535,567.0,0.0,0.8387573964497042,0.0,10,10
vehicle,global_topk,stability,676,0.1028037383177569,1.4628472785736258e-17,1.04638520070921e-17,0.2588235294117647,0.0,0.1028037383177569,1.04638520070921e-17,0.1064321055525013,0.0,676.0,0.0,1.0,0.0,10,10
vehicle,global_topk,support,1,0.282933292543263,0.0315882858269228,0.0225953285002477,0.2988235294117646,0.0216194998485724,0.282933292543263,0.0225953285002477,0.2842046974160708,0.0226608086802226,1.0,0.0,0.0014792899408284,0.0,10,10
vehicle,global_topk,support,2,0.282933292543263,0.0315882858269228,0.0225953285002477,0.2988235294117646,0.0216194998485724,0.282933292543263,0.0225953285002477,0.2842046974160708,0.0226608086802226,2.0,0.0,0.0029585798816568,0.0,10,10
vehicle,global_topk,support,3,0.2899030089801866,0.0344821365368611,0.0246653207682676,0.3005882352941176,0.0214046025836665,0.2899030089801866,0.0246653207682676,0.2908910001682833,0.0244537339533634,3.0,0.0,0.0044378698224852,0.0,10,10
vehicle,global_topk,support,4,0.3039982209951492,0.0387476551166359,0.0277164769488216,0.3117647058823529,0.0259379397740681,0.3039982209951492,0.0277164769488216,0.3048978949242881,0.0275962737158348,4.0,0.0,0.0059171597633136,0.0,10,10
vehicle,global_topk,support,5,0.2920714303631931,0.0432527934244831,0.0309390348477404,0.3041176470588235,0.0276308500420896,0.2920714303631931,0.0309390348477404,0.2928975690128541,0.0309222146959206,5.0,0.0,0.0073964497041419,6.539907504432564e-19,10,10
vehicle,global_topk,support,6,0.2863818901765021,0.0422462773051861,0.0302190666139174,0.2970588235294117,0.026333099804784,0.2863818901765021,0.0302190666139174,0.2868789184702994,0.0301016971490055,6.0,0.0,0.0088757396449704,0.0,10,10
vehicle,global_topk,support,7,0.2980907977574772,0.0408657103358491,0.0292315371113771,0.3088235294117646,0.0251094061422529,0.2980907977574772,0.0292315371113771,0.2989487297731418,0.0291213399274965,7.0,0.0,0.0103550295857988,0.0,10,10
vehicle,global_topk,support,8,0.3032443511214776,0.0360294672286264,0.0257721375632819,0.3129411764705881,0.0219804513336384,0.3032443511214776,0.0257721375632819,0.3043702402599069,0.025543310615265,8.0,0.0,0.0118343195266272,0.0,10,10
