dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,retained_mean,retained_std,retained_ci95,compression_ratio_mean,compression_ratio_std,compression_ratio_ci95,runs,repeat_rows,source,elapsed_seconds_mean
breast_cancer,global_topk,g_test,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,gini_gain,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,information_gain,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,interval_tightness,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,lift,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,log_odds_ratio,31.0,0.9372533718728104,0.0266686867534482,0.0190763038287687,0.9438596491228072,0.0227243967575736,0.0162549247692862,0.9372533718728104,0.0266686867534482,0.0190763038287687,0.94259370296559,0.0239384309176315,0.0171233321531921,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,log_odds_ratio_log_tp,31.0,0.936174248204204,0.0285005903266642,0.0203866776567247,0.942982456140351,0.0242002125105947,0.017310586413228,0.936174248204204,0.0285005903266642,0.0203866776567247,0.9416398045518688,0.0255525164320253,0.0182778991539167,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,matthews_correlation,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,precision,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,precision_log_tp,58.0,0.9340859557402398,0.0261845288617376,0.0187299821996328,0.9412280701754387,0.0222875309943386,0.0159424315404705,0.9340859557402398,0.0261845288617376,0.0187299821996328,0.9397816101823352,0.0234967350645054,0.0168073839262683,58.0,0.0,0.0,0.1274725274725274,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,precision_sqrt_tp,50.0,0.9341789097958332,0.0252783158142618,0.0180817614759406,0.9412280701754387,0.021506638068343,0.0153838532028214,0.9341789097958332,0.0252783158142618,0.0180817614759406,0.9398311285575078,0.0226776602949627,0.0162214938407635,50.0,0.0,0.0,0.1098901098901098,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_binary_similarity,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_numeric_similarity,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_similarity,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_weighted_log_odds_ratio,31.0,0.9372533718728104,0.0266686867534482,0.0190763038287687,0.9438596491228072,0.0227243967575736,0.0162549247692862,0.9372533718728104,0.0266686867534482,0.0190763038287687,0.94259370296559,0.0239384309176315,0.0171233321531921,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_weighted_log_odds_ratio_log_tp,31.0,0.936174248204204,0.0285005903266642,0.0203866776567247,0.942982456140351,0.0242002125105947,0.017310586413228,0.936174248204204,0.0285005903266642,0.0203866776567247,0.9416398045518688,0.0255525164320253,0.0182778991539167,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_weighted_precision,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
