dataset,method,metric,best_k,best_primary_f1_mean,best_primary_f1_ci95,best_retained_mean,best_retained_ci95,best_compression_ratio_mean,best_compression_ratio_ci95,smallest_k_within_1pct,primary_f1_within_1pct,smallest_k_within_3pct,primary_f1_within_3pct,smallest_k_within_5pct,primary_f1_within_5pct
parkinsons,global_topk,error_rate,3,0.9366923690779484,0.030863127039328,3.0,0.0,0.0192307692307691,2.615963001773025e-18,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,fn,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,fp,3,0.9366923690779484,0.030863127039328,3.0,0.0,0.0192307692307691,2.615963001773025e-18,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,g_test,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,gini_gain,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,information_gain,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,interval_tightness,4,0.940735522812486,0.0282927918844078,4.0,0.0,0.0256410256410256,0.0,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,lift,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,log_odds_ratio,5,0.7184932943400686,0.0629175553116329,5.0,0.0,0.032051282051282,0.0,5,0.7184932943400686,5,0.7184932943400686,5,0.7184932943400686
parkinsons,global_topk,log_odds_ratio_log_tp,5,0.6997476647762931,0.063646216964171,5.0,0.0,0.032051282051282,0.0,5,0.6997476647762931,5,0.6997476647762931,5,0.6997476647762931
parkinsons,global_topk,matthews_correlation,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,precision,3,0.9366923690779484,0.030863127039328,3.0,0.0,0.0192307692307691,2.615963001773025e-18,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,precision_log_tp,5,0.6867415277681399,0.0664412802222554,5.0,0.0,0.032051282051282,0.0,5,0.6867415277681399,5,0.6867415277681399,5,0.6867415277681399
parkinsons,global_topk,precision_sqrt_tp,5,0.6997476647762931,0.063646216964171,5.0,0.0,0.032051282051282,0.0,5,0.6997476647762931,5,0.6997476647762931,5,0.6997476647762931
parkinsons,global_topk,query_binary_similarity,3,0.9366923690779484,0.030863127039328,3.0,0.0,0.0192307692307691,2.615963001773025e-18,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
