dataset,seed,n_classes,train_size,test_size,train_class_counts,test_class_counts,numeric_feature_count,categorical_feature_count,encoded_feature_count,total_classifiers_mean,total_classifiers_min,total_classifiers_max,singleton_tp1_rate,fp_zero_rate
waveform,2000,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.99934402695328,0.999572415474782
waveform,2001,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9992799178946128,0.9997017783967356
waveform,2002,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9992575942045412,0.9995787119001868
waveform,2003,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9991854715135404,0.9995895875440678
waveform,2004,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9991826095019928,0.9996639998443064
waveform,2005,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9992352705144696,0.9996994887874974
waveform,2006,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.999346316562518,0.9997029232013546
waveform,2007,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9993211308608988,0.9995100236230432
vehicle,1998,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9327880264531848,0.9018012530455968
vehicle,1999,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.930560389836408,0.8950922380786634
vehicle,2000,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9241646362687088,0.8863470240167073
vehicle,2001,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9252262443438914,0.8894796380090497
vehicle,2002,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9225200139227288,0.8872607030978071
vehicle,2003,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.932457361642882,0.8968934911242603
vehicle,2004,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9262704490080056,0.8952053602506092
vehicle,2005,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9224242951618518,0.886399234249913
vehicle,2006,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.92463452836756,0.8926209537069265
vehicle,2007,4,676,170,"[174, 170, 173, 159]","[44, 42, 44, 40]",18,0,18,676.0,676,676,0.9265489035851028,0.8912721893491125
page_blocks,1998,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2761935455609304,0.8836534269521121
page_blocks,1999,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2774088374625306,0.877236535521109
page_blocks,2000,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2781564526659866,0.8766941807418162
page_blocks,2001,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2782509475563788,0.8768871338844493
page_blocks,2002,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.276506233950992,0.8759511546941849
page_blocks,2003,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2795246468957489,0.8756021702535092
page_blocks,2004,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2776668731786788,0.8802443099682723
page_blocks,2005,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2761082289821878,0.8772630274660976
page_blocks,2006,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2796483455050261,0.8763764859999458
page_blocks,2007,5,4378,1095,"[3930, 263, 23, 70, 92]","[983, 66, 5, 18, 23]",10,0,10,4378.0,4378,4378,0.2761641332440533,0.8848489020444689
glass,1998,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.9014007887936896,0.8644090847273221
glass,1999,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.9024887800897592,0.8569291445668434
glass,2000,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.8958248334013328,0.8540731674146607
glass,2001,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.9067047463620292,0.8735210118319053
glass,2002,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.903984768121855,0.8601931184550523
glass,2003,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.8850809193526452,0.8557051543587652
glass,2004,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.906296749626003,0.8533931728546171
glass,2005,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.8784169726642187,0.8218414252685978
glass,2006,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.8924248606011151,0.8531211750305998
glass,2007,6,171,43,"[56, 61, 14, 10, 7, 23]","[14, 15, 3, 3, 2, 6]",9,0,9,171.0,171,171,0.8931048551611587,0.8592411260709915
image_segmentation,1998,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9297557169575345,0.9002773857469049
image_segmentation,1999,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.929607988250548,0.8995516505455923
image_segmentation,2000,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9314639197732724,0.898524720893142
image_segmentation,2001,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9315456725528668,0.8966401041845949
image_segmentation,2002,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9307381845719596,0.9031817608114464
image_segmentation,2003,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9300095808520648,0.9031172191433456
image_segmentation,2004,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9299005771459388,0.9003060709327275
image_segmentation,2005,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9309131642054778,0.9052542654871318
image_segmentation,2006,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9297284660310028,0.9017345931866948
image_segmentation,2007,7,1668,418,"[237, 240, 239, 240, 238, 234, 240]","[60, 60, 60, 60, 60, 58, 60]",18,0,18,1668.0,1668,1668,0.9284361984096932,0.8937844939359517
