dataset,method,metric,k,macro_f1_mean,macro_f1_std,macro_f1_ci95,primary_f1_mean,primary_f1_std,primary_f1_ci95,elapsed_seconds_mean,runs,repeat_rows,source
ionosphere,xgboost,imported_baseline,,0.9260321111024232,0.0421107247362373,0.0301221048844575,0.9260321111024232,0.0421107247362373,0.0301221048844575,0.2341,10,10,imported_baseline
parkinsons,decision_tree,imported_baseline,,0.7705178168058664,0.091986817836002,0.0657988337222599,0.7705178168058664,0.091986817836002,0.0657988337222599,0.0742,10,10,imported_baseline
parkinsons,fcalc_deterministic,imported_baseline,,0.7300749317623781,0.0674320651205576,0.0482346421454274,0.7300749317623781,0.0674320651205576,0.0482346421454274,2.1711,10,10,imported_baseline
parkinsons,fcalc_randomized,imported_baseline,,0.7124619924354392,0.1019171498216126,0.0729020717567895,0.7124619924354392,0.1019171498216126,0.0729020717567895,7.766599999999999,10,10,imported_baseline
parkinsons,ips_knn,imported_baseline,,0.9169909483042954,0.0429613904812892,0.0307305922224116,0.9169909483042954,0.0429613904812892,0.0307305922224116,7.8649,10,10,imported_baseline
parkinsons,knn,imported_baseline,,0.9306178607732886,0.0295267003708109,0.021120661566201,0.9306178607732886,0.0295267003708109,0.021120661566201,0.4017,10,10,imported_baseline
parkinsons,logistic_regression,imported_baseline,,0.7640444076939628,0.0822373939306336,0.0588250005412833,0.7640444076939628,0.0822373939306336,0.0588250005412833,1.5984,10,10,imported_baseline
parkinsons,naive_bayes,imported_baseline,,0.7497598400666698,0.0656211160276474,0.0469392572082474,0.7497598400666698,0.0656211160276474,0.0469392572082474,0.0828,10,10,imported_baseline
parkinsons,random_forest,imported_baseline,,0.8339022871698585,0.1002425694971385,0.0717042323824448,0.8339022871698585,0.1002425694971385,0.0717042323824448,4.214499999999999,10,10,imported_baseline
parkinsons,svm,imported_baseline,,0.8776145534518077,0.0673844800294915,0.0482006041868549,0.8776145534518077,0.0673844800294915,0.0482006041868549,0.0670999999999999,10,10,imported_baseline
parkinsons,xgboost,imported_baseline,,0.8665042358898996,0.0622544494432225,0.0445310563377509,0.8665042358898996,0.0622544494432225,0.0445310563377509,0.1674,10,10,imported_baseline
rice,decision_tree,imported_baseline,,0.9255251899312488,0.0093344385197346,0.0066769911439451,0.9255251899312488,0.0093344385197346,0.0066769911439451,0.139,10,10,imported_baseline
rice,fcalc_deterministic,imported_baseline,,0.928740159591972,0.0091256266195826,0.0065276264869154,0.928740159591972,0.0091256266195826,0.0065276264869154,3193.2062,10,10,imported_baseline
rice,fcalc_randomized,imported_baseline,,0.9281880080916328,0.0099160060191584,0.0070929905674829,0.9281880080916328,0.0099160060191584,0.0070929905674829,495.6133,10,10,imported_baseline
rice,ips_knn,imported_baseline,,0.9300677653631,0.0070801542151515,0.0050644853348583,0.9300677653631,0.0070801542151515,0.0050644853348583,66.5035,10,10,imported_baseline
rice,knn,imported_baseline,,0.9301320303819732,0.0071893139954124,0.005142568112364,0.9301320303819732,0.0071893139954124,0.005142568112364,1.4214999999999998,10,10,imported_baseline
rice,logistic_regression,imported_baseline,,0.932828169330276,0.0098475161671085,0.0070439992827237,0.932828169330276,0.0098475161671085,0.0070439992827237,0.2782,10,10,imported_baseline
rice,naive_bayes,imported_baseline,,0.91532716925053,0.0095929793010132,0.0068619272280273,0.91532716925053,0.0095929793010132,0.0068619272280273,0.0305,10,10,imported_baseline
rice,random_forest,imported_baseline,,0.929641441093488,0.0078354784995329,0.0056047742388945,0.929641441093488,0.0078354784995329,0.0056047742388945,18.6775,10,10,imported_baseline
rice,svm,imported_baseline,,0.9336409102355036,0.0109863043095712,0.0078585826479661,0.9336409102355036,0.0109863043095712,0.0078585826479661,0.2925,10,10,imported_baseline
rice,xgboost,imported_baseline,,0.927375508300586,0.008474207286425,0.0060616615433044,0.927375508300586,0.008474207286425,0.0060616615433044,0.8499000000000001,10,10,imported_baseline
sonar,decision_tree,imported_baseline,,0.7260089588286568,0.070608707230546,0.0505069171399043,0.7260089588286568,0.070608707230546,0.0505069171399043,0.1066999999999999,10,10,imported_baseline
sonar,fcalc_deterministic,imported_baseline,,0.6718023750822337,0.065104194361492,0.0465694994151315,0.6718023750822337,0.065104194361492,0.0465694994151315,3.0384,10,10,imported_baseline
sonar,fcalc_randomized,imported_baseline,,0.6778097193063435,0.1193060479279773,0.0853404758893674,0.6778097193063435,0.1193060479279773,0.0853404758893674,10.035600000000002,10,10,imported_baseline
sonar,ips_knn,imported_baseline,,0.8445979380680656,0.0498568821229041,0.0356629870876058,0.8445979380680656,0.0498568821229041,0.0356629870876058,21.313,10,10,imported_baseline
sonar,knn,imported_baseline,,0.8421911781613056,0.0443593349001001,0.0317305519397951,0.8421911781613056,0.0443593349001001,0.0317305519397951,0.4655999999999999,10,10,imported_baseline
sonar,logistic_regression,imported_baseline,,0.7504666598974379,0.0639509594110683,0.0457445821440405,0.7504666598974379,0.0639509594110683,0.0457445821440405,0.1491999999999999,10,10,imported_baseline
sonar,naive_bayes,imported_baseline,,0.6423288155514412,0.0575585472823187,0.0411720436799571,0.6423288155514412,0.0575585472823187,0.0411720436799571,0.0174,10,10,imported_baseline
sonar,random_forest,imported_baseline,,0.7840887242813631,0.0716690335516234,0.0512653761988567,0.7840887242813631,0.0716690335516234,0.0512653761988567,6.2611,10,10,imported_baseline
sonar,svm,imported_baseline,,0.8586979196496893,0.0480985237095268,0.0344052206425025,0.8586979196496893,0.0480985237095268,0.0344052206425025,0.1031,10,10,imported_baseline
sonar,xgboost,imported_baseline,,0.816891608651385,0.0614279752944885,0.0439398734229854,0.816891608651385,0.0614279752944885,0.0439398734229854,0.2682,10,10,imported_baseline
