dataset,classifier,repeat,split_seed,macro_f1,macro_f1_percent,cv_macro_f1,best_params,elapsed_seconds,status,error
page_blocks,svm,5,2002,0.8383350159851928,83.83350159851928,0.7656140886669243,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.308,ok,
page_blocks,svm,6,2003,0.7986340972805224,79.86340972805223,0.7608378335790981,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.318,ok,
page_blocks,svm,7,2004,0.8058515590164902,80.58515590164902,0.7545184016882973,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.337,ok,
page_blocks,svm,8,2005,0.7400206796333557,74.00206796333558,0.763848248862978,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.336,ok,
page_blocks,svm,9,2006,0.7162235235919446,71.62235235919447,0.7742885213304664,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.352,ok,
page_blocks,svm,10,2007,0.7221531831018411,72.2153183101841,0.7633388567274874,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.323,ok,
page_blocks,decision_tree,1,1998,0.8335789100791506,83.35789100791506,0.815721144113296,"{""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.185,ok,
page_blocks,decision_tree,2,1999,0.745527001220309,74.5527001220309,0.8220735759193231,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}",0.187,ok,
page_blocks,decision_tree,3,2000,0.8506911173611783,85.06911173611783,0.8012099063385743,"{""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.203,ok,
page_blocks,decision_tree,4,2001,0.8368017457076149,83.6801745707615,0.8037793111764568,"{""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",0.194,ok,
page_blocks,decision_tree,5,2002,0.8422641530163677,84.22641530163676,0.8238566623288796,"{""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.197,ok,
page_blocks,decision_tree,6,2003,0.7959601738861399,79.59601738861399,0.8127328408219017,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.182,ok,
